iter	RMSE
0	2.865297103
1	2.698671192
2	2.578103661
3	2.490550329
4	2.42864887
5	2.387127456
6	2.338484128
7	2.301886963
8	2.276086032
9	2.257137522
10	2.244050237
11	2.232808521
12	2.224799442
13	2.216340031
14	2.209996646
15	2.205981671
16	2.198767309
17	2.194949026
18	2.191049025
19	2.18787029
20	2.184861173
21	2.181493009
22	2.178499176
23	2.176039649
24	2.173653756
25	2.172200805
26	2.169287921
27	2.166648477
28	2.16465364
29	2.162182008
30	2.16117155
31	2.160394665
32	2.159371823
33	2.157305102
34	2.155576064
35	2.153394292
36	2.151477082
37	2.150340509
38	2.14924844
39	2.147841101
40	2.146323497
41	2.144164438
42	2.142980914
43	2.141425358
44	2.140943631
45	2.140223007
46	2.139047126
47	2.136839605
48	2.135463212
49	2.134438732
50	2.133613949
51	2.13238207
52	2.131603362
53	2.13042826
54	2.129596492
55	2.129221939
56	2.128372791
57	2.12763724
58	2.126255927
59	2.125377162
60	2.124562098
61	2.123545866
62	2.122385656
63	2.121682321
64	2.120791914
65	2.120092224
66	2.118959276
67	2.117091235
68	2.115861746
69	2.114850771
70	2.113631389
71	2.112685514
72	2.11209045
73	2.111361218
74	2.110658447
75	2.110159491
76	2.109450555
77	2.108896901
78	2.10802404
79	2.107363786
80	2.10671249
81	2.105988161
82	2.10528204
83	2.10432989
84	2.103566242
85	2.102938133
86	2.102640157
87	2.102121536
88	2.101322063
89	2.100701387
90	2.100025571
91	2.099551149
92	2.099135
93	2.098786148
94	2.097813572
95	2.097178771
96	2.096785698
97	2.096463418
98	2.09611123
99	2.095672984
100	2.095262135
101	2.094677031
102	2.094369641
103	2.094198028
104	2.093968123
105	2.093817638
106	2.093531573
107	2.093283739
108	2.092912262
109	2.092668564
110	2.092534644
111	2.092222145
112	2.09187025
113	2.091362956
114	2.090818812
115	2.090289643
116	2.089703246
117	2.08947938
118	2.089334005
119	2.089030341
120	2.08879687
121	2.088535993
122	2.088203701
123	2.088053807
124	2.087926085
125	2.08742697
126	2.08709388
127	2.086686473
128	2.086237112
129	2.085653845
130	2.085129919
131	2.084971424
132	2.084468743
133	2.084056153
134	2.083454224
135	2.08330719
136	2.082934944
137	2.082383511
138	2.081914999
139	2.081732142
140	2.081312739
141	2.081051742
142	2.080684883
143	2.080470271
144	2.080104772
145	2.079998631
146	2.079748331
147	2.079523319
148	2.079259443
149	2.079016597
150	2.078735015
151	2.078567634
152	2.078256981
153	2.078002071
154	2.077796111
155	2.077631422
156	2.077560211
157	2.077284435
158	2.076952268
159	2.076703454
160	2.076343344
161	2.076073623
162	2.076043589
163	2.075871876
164	2.075798953
165	2.075487472
166	2.074954991
167	2.07463547
168	2.07434319
169	2.074075849
170	2.07395204
171	2.073463427
172	2.073269341
173	2.072907012
174	2.072739439
175	2.072598949
176	2.072408272
177	2.072243521
178	2.071715727
179	2.071462962
180	2.07127914
181	2.071015268
182	2.070735693
183	2.070451213
184	2.070145423
185	2.069831212
186	2.069771968
187	2.069519942
188	2.069211987
189	2.068832414
190	2.068604266
191	2.06841397
192	2.068263717
193	2.067666386
194	2.067555994
195	2.06723894
196	2.067177745
197	2.066928295
198	2.066885646
199	2.066717968
200	2.066432467
201	2.066378881
202	2.06625453
203	2.06604189
204	2.065718301
205	2.065544887
206	2.065291486
207	2.065199746
208	2.064964548
209	2.064794051
210	2.064297555
211	2.064138526
212	2.063987948
213	2.063800849
214	2.063682965
215	2.063647113
216	2.063523503
217	2.063405559
218	2.063086763
219	2.062886261
220	2.062777698
221	2.062690229
222	2.062202264
223	2.062099842
224	2.061663128
225	2.061074507
226	2.060884716
227	2.060551544
228	2.060401286
229	2.060167042
230	2.059936242
231	2.059703788
232	2.059576993
233	2.059351685
234	2.0590654
235	2.058820868
236	2.058753713
237	2.058665347
238	2.058529635
239	2.058223587
240	2.057971027
241	2.05766673
242	2.057308944
243	2.056959685
244	2.056694986
245	2.056628618
246	2.05658349
247	2.056570326
248	2.056450557
249	2.05631606
250	2.056236654
251	2.055823758
252	2.055722091
253	2.05560569
254	2.055446251
255	2.055233504
256	2.054945795
257	2.05484095
258	2.054630341
259	2.054302246
260	2.054225443
261	2.054100135
262	2.053664441
263	2.053548903
264	2.053433217
265	2.053342373
266	2.053179685
267	2.052955743
268	2.052773275
269	2.052735058
270	2.052689225
271	2.052491211
272	2.05228973
273	2.052094489
274	2.051890708
275	2.05179252
276	2.051553748
277	2.051312208
278	2.051021099
279	2.050854554
280	2.050616019
281	2.050396878
282	2.050289704
283	2.050122748
284	2.050063363
285	2.049815332
286	2.049705026
287	2.04962367
288	2.049536872
289	2.049457866
290	2.049327833
291	2.049227152
292	2.049009238
293	2.048787333
294	2.048655745
295	2.048523976
296	2.048357201
297	2.048220517
298	2.048047199
299	2.047801566
