iter	Passed	Remaining
0	320	95688
1	746	111263
2	1315	130211
3	1740	128775
4	2126	125447
5	2445	119822
6	2800	117224
7	3106	113401
8	3381	109342
9	3584	103961
10	3852	101224
11	4112	98711
12	4420	97585
13	4664	95279
14	4921	93511
15	5160	91600
16	5528	92025
17	5958	93356
18	6276	92830
19	6535	91498
20	6967	92572
21	7436	93972
22	7946	95704
23	8830	101550
24	9507	104580
25	9829	103591
26	10046	101585
27	10436	101385
28	10902	101884
29	11306	101759
30	11984	103996
31	12248	102582
32	12582	101803
33	12914	101035
34	13237	100226
35	13544	99325
36	13865	98560
37	14175	97734
38	14543	97331
39	14816	96309
40	15171	95838
41	15442	94859
42	15699	93830
43	15937	92724
44	16208	91846
45	16491	91063
46	16781	90335
47	17171	90152
48	17493	89610
49	17826	89133
50	18137	88555
51	18383	87673
52	18613	86747
53	18963	86388
54	19392	86385
55	19777	86174
56	20057	85506
57	20214	84343
58	20543	83915
59	20812	83251
60	21061	82520
61	21420	82227
62	21700	81636
63	21983	81065
64	22321	80700
65	22687	80438
66	22966	79868
67	23297	79483
68	23550	78843
69	23882	78470
70	24173	77967
71	24457	77449
72	24827	77202
73	25090	76628
74	25335	76006
75	25725	75822
76	25967	75203
77	26341	74971
78	26620	74469
79	26892	73953
80	27157	73424
81	27486	73073
82	27718	72468
83	28032	72082
84	28334	71670
85	28818	71710
86	29282	71690
87	29710	71574
88	29971	71056
89	30199	70466
90	30418	69861
91	30725	69465
92	31045	69101
93	31347	68698
94	31571	68128
95	31908	67805
96	32292	67581
97	32594	67183
98	32974	66948
99	33484	66969
100	33901	66795
101	34234	66456
102	34598	66172
103	35103	66156
104	35736	66367
105	36105	66079
106	36848	66464
107	37297	66306
108	37681	66028
109	37969	65584
110	38238	65108
111	38624	64833
112	39073	64661
113	39350	64204
114	39861	64124
115	40139	63668
116	40379	63157
117	40622	62655
118	40996	62356
119	41258	61887
120	41534	61443
121	41754	60919
122	41961	60383
123	42287	60020
124	42787	59902
125	43059	59462
126	43279	58955
127	43599	58586
128	43856	58135
129	44107	57678
130	44385	57260
131	44626	56797
132	44828	56287
133	45125	55901
134	45524	55640
135	46034	55511
136	46296	55082
137	46555	54652
138	46946	54376
139	47168	53906
140	47437	53493
141	47812	53199
142	48147	52861
143	48385	52417
144	48619	51972
145	48871	51549
146	49161	51168
147	49381	50715
148	49623	50289
149	49887	49887
150	50138	49474
151	50383	49057
152	50620	48635
153	50823	48183
154	51094	47798
155	51354	47404
156	51614	47011
157	51854	46603
158	52089	46193
159	52351	45807
160	52742	45535
161	53089	45224
162	53380	44865
163	53902	44700
164	54375	44488
165	55065	44450
166	55602	44282
167	55977	43982
168	56281	43626
169	56630	43305
170	57464	43350
171	57702	42941
172	57951	42542
173	58292	42211
174	58622	41873
175	58986	41558
176	59412	41286
177	59843	41016
178	60189	40686
179	60676	40450
180	61148	40202
181	61430	39828
182	61851	39544
183	62156	39185
184	62389	38782
185	62636	38389
186	62875	37994
187	63121	37604
188	63345	37202
189	63921	37007
190	64252	36667
191	64631	36355
192	65009	36041
193	65277	35667
194	65489	35263
195	65830	34930
196	66135	34578
197	66345	34178
198	66609	33807
199	66998	33499
200	67291	33143
201	67599	32795
202	67947	32467
203	68252	32118
204	68492	31740
205	68828	31407
206	69143	31064
207	69377	30686
208	69602	30305
209	69942	29975
210	70220	29618
211	70417	29230
212	70657	28860
213	71132	28585
214	71393	28225
215	71682	27876
216	72031	27551
217	72339	27210
218	72637	26865
219	72922	26517
220	73184	26160
221	73456	25809
222	73678	25440
223	73923	25081
224	74157	24719
225	74421	24368
226	74683	24017
227	74943	23666
228	75212	23319
229	75525	22985
230	75779	22635
231	76049	22290
232	76333	21950
233	76632	21614
234	76938	21280
235	77236	20945
236	77584	20623
237	77927	20300
238	78187	19955
239	78498	19624
240	78825	19297
241	79098	18957
242	79544	18658
243	80130	18390
244	80763	18130
245	81143	17812
246	81512	17490
247	81966	17186
248	82249	16846
249	82483	16496
250	82721	16148
251	83025	15814
252	83255	15466
253	83480	15118
254	83715	14773
255	84023	14441
256	84280	14101
257	84520	13759
258	84879	13436
259	85224	13111
260	85573	12786
261	86116	12490
262	86417	12157
263	86688	11821
264	86904	11477
265	87153	11139
266	87365	10798
267	87723	10474
268	88236	10168
269	88681	9853
270	89134	9538
271	89382	9201
272	89643	8865
273	89905	8531
274	90152	8195
275	90393	7860
276	90815	7540
277	91328	7227
278	92320	6948
279	93087	6649
280	93556	6325
281	94097	6006
282	94426	5672
283	94779	5339
284	95137	5007
285	95407	4670
286	95710	4335
287	96020	4000
288	96308	3665
289	96582	3330
290	96867	2995
291	97177	2662
292	97525	2329
293	97868	1997
294	98433	1668
295	99186	1340
296	99721	1007
297	100204	672
298	100627	336
299	101158	0
